epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.631057766248595,0.647996723651886,0.5714285714285714,0.6666666666666666
2,0.6100716219758088,0.6350408792495728,0.5714285714285714,0.6666666666666666
3,0.5892942210413376,0.622637152671814,0.7142857142857143,0.6666666666666666
4,0.5687651510508556,0.6104555130004883,0.8571428571428571,0.6666666666666666
5,0.5493337781924121,0.5985251665115356,0.8571428571428571,0.6666666666666666
6,0.5295278216308018,0.5867851376533508,0.8571428571428571,0.6666666666666666
7,0.5100602237683423,0.5752515196800232,0.8571428571428571,0.6666666666666666
8,0.4913340210914612,0.5639414191246033,0.8571428571428571,0.6666666666666666
9,0.47266400872536424,0.5528096556663513,0.8571428571428571,0.6666666666666666
10,0.4548257291316986,0.5415515303611755,0.8571428571428571,0.6666666666666666
