epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.11669659552082802,0.0019864799688013206,1.0,nan
2,0.0012881919449267327,0.0004218518964095053,1.0,nan
3,0.0007161699227846742,0.00020985545130005598,1.0,nan
4,0.0005414550408371967,0.00012885978682358957,1.0,nan
5,0.0004521928359377787,0.00010897357614810685,1.0,nan
6,0.0003842224221760943,8.365647192003143e-05,1.0,nan
7,0.0003335299424935415,6.175508575658168e-05,1.0,nan
8,0.0002941547767268831,4.6379965580936216e-05,1.0,nan
9,0.0002559257401024675,3.5245676990656926e-05,1.0,nan
10,0.0002521643455091438,4.268689569100061e-05,1.0,nan
