round,global_loss,global_acc,global_auc
1,0.18564926358981174,0.9412759242560865,nan
2,0.16840857087707564,0.949165915238954,nan
3,0.18380183301533498,0.9499549143372408,nan
4,0.17450067593705168,0.9506311992786294,nan
5,0.1902569736378407,0.9499549143372408,nan
6,0.18951550066828848,0.9505184851217313,nan
7,0.18135034044023782,0.9502930568079351,nan
8,0.18615002351971738,0.9493913435527502,nan
9,0.19854781194044172,0.9492786293958522,nan
10,0.19940990215709906,0.9496167718665465,nan
11,0.18838402509061172,0.9489404869251578,nan
12,0.18607161108616863,0.9489404869251578,nan
13,0.19618045835612163,0.9497294860234445,nan
14,0.197582571145829,0.9499549143372408,nan
15,0.18993439859558633,0.9496167718665465,nan
16,0.19312383165092578,0.9487150586113616,nan
17,0.19438518460976872,0.9487150586113616,nan
18,0.20264275513154373,0.9484896302975654,nan
19,0.19863979555867994,0.9488277727682597,nan
20,0.20162377365347506,0.9496167718665465,nan
21,0.20660828004592846,0.9486023444544635,nan
22,0.21569975713881806,0.9479260595130748,nan
23,0.2107502015895816,0.9479260595130748,nan
24,0.20953013124389488,0.9483769161406672,nan
25,0.20441561859253057,0.9486023444544635,nan
26,0.2031386616934558,0.9480387736699729,nan
27,0.2125208788048358,0.9486023444544635,nan
28,0.20946741851178527,0.9484896302975654,nan
29,0.21080456027148897,0.9479260595130748,nan
30,0.20134672718214977,0.9488277727682597,nan
31,0.21360067239516592,0.9478133453561768,nan
32,0.21253771386638357,0.9479260595130748,nan
33,0.22406831696315443,0.9473624887285843,nan
34,0.21330612625236428,0.9477006311992786,nan
35,0.21641242936294697,0.9466862037871957,nan
36,0.213220077886446,0.9471370604147881,nan
37,0.21799959491917778,0.9480387736699729,nan
38,0.20705861848446466,0.9487150586113616,nan
39,0.20241671171823702,0.9487150586113616,nan
40,0.21412025983359267,0.9474752028854824,nan
41,0.2105721459308105,0.9482642019837692,nan
42,0.2193994761708741,0.9471370604147881,nan
43,0.20664407486222833,0.9484896302975654,nan
44,0.21460554254276137,0.9481514878268711,nan
45,0.22430171154876558,0.9466862037871957,nan
46,0.21134113928992168,0.9481514878268711,nan
47,0.21708488652446517,0.9469116321009918,nan
48,0.20950051330374697,0.9484896302975654,nan
49,0.20792933092687726,0.9472497745716862,nan
50,0.2156074712339728,0.9477006311992786,nan
