epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.46189477717389865,0.36105930276602416,0.8440366972477065,0.8944333549578322
2,0.35462344994350353,0.3509081598451014,0.8481141692150866,0.9012500623783621
3,0.34645030522833065,0.3469288551479305,0.855249745158002,0.9029816857128599
4,0.3420753949454853,0.34488374389761206,0.8501529051987767,0.9050077349169121
5,0.34011043407479113,0.3435660052007856,0.8521916411824668,0.9055866061180697
6,0.3366557966081464,0.34414063757105096,0.854230377166157,0.9051025500274466
7,0.3350818965203908,0.34254561120095484,0.854230377166157,0.9064948350716103
8,0.33348958154722136,0.3403418476671497,0.854230377166157,0.9083262637856182
9,0.3310989000967571,0.3391966720422109,0.8501529051987767,0.9090698138629673
10,0.3290550348405935,0.3403636970529741,0.8521916411824668,0.9083811567443485
