epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.650384435388777,0.5918789594703251,0.6488888888888888,0.8885236812925709
2,0.5271886773904164,0.4541922612984975,0.8355555555555556,0.9103833359733882
3,0.4313263077206082,0.393440670437283,0.84,0.9167986694123238
4,0.40028928915659584,0.37756801267464957,0.8444444444444444,0.9225011880247109
5,0.38728707684410946,0.3693764815396733,0.8444444444444444,0.9241644226199905
6,0.38219735092586943,0.36861842130621275,0.8488888888888889,0.9236892127356249
7,0.37893207559982933,0.36664564192295074,0.8488888888888889,0.923768414383019
8,0.37563117411401536,0.3682287357416418,0.8488888888888889,0.9230555995564707
9,0.3745640581183963,0.36685875091287823,0.8311111111111111,0.921313163313797
10,0.37145006471210057,0.3721624443928401,0.8533333333333334,0.9218675748455568
