epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.11998519187592428,0.07905856736583475,0.9758356826419654,0.8899969046636401
2,0.08365751727890272,0.07442497294861261,0.9758356826419654,0.9051743706149402
3,0.08103952696931446,0.0731633259191662,0.9770438985098671,0.9057891388086394
4,0.07984749715839028,0.07227246181501516,0.9778493757551349,0.9050909684963544
5,0.07866076052316426,0.07250398943036422,0.9782521143777688,0.9042423304443528
6,0.07803580424310368,0.0713029900506481,0.9790575916230366,0.9049215848122162
7,0.0769932714917426,0.07112116686230134,0.9780507450664518,0.909237859402944
8,0.07673866587305538,0.07103102823117005,0.9786548530004028,0.9078793506672169
9,0.07636500867186836,0.07125534779049736,0.9784534836890858,0.912866281469253
10,0.07643587973985487,0.0706420559747399,0.9788562223117196,0.9131087494841106
