epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.15838598131200515,0.13710812986695975,0.9536515094575974,0.9038764951677961
2,0.13776974460372893,0.13471532832272562,0.955029437554804,0.9051642001566599
3,0.1359804356069738,0.13559611039018027,0.9541525742202179,0.9088073780659477
4,0.13489336938389726,0.13247620222802362,0.9549041713641488,0.9085670919526451
5,0.13419528082700724,0.13201240910916912,0.9571589627959414,0.9087718369064974
6,0.13384220385099363,0.13025049481283793,0.9556557685080797,0.9124703475228509
7,0.13350599399135307,0.13084757154065238,0.9560315670800451,0.9122872060188605
8,0.13296057952461787,0.12997533593592334,0.9562820994613553,0.9128565614555428
9,0.1326209262018206,0.13017315843208951,0.955029437554804,0.9136448783098576
10,0.132273606589814,0.13142332321537567,0.9555305023174245,0.9117926960826673
