epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.652087169758817,0.6487423993171529,0.6063829787234043,0.793889648882809
2,0.6064008550441011,0.5942240458853701,0.7553191489361702,0.853625170998632
3,0.5538311943094781,0.5318549871444702,0.8085106382978723,0.8700410396716827
4,0.49836803877607305,0.47901548984202935,0.7872340425531915,0.8777929776561788
5,0.452650729646074,0.43986927321616637,0.776595744680851,0.8814409484724122
6,0.42010700544144247,0.4187596668588354,0.776595744680851,0.8864569083447332
7,0.40158813938181454,0.4102037656814494,0.776595744680851,0.8901048791609667
8,0.3886070923602327,0.40883927205775644,0.7872340425531915,0.893296853625171
9,0.3808625020245288,0.40647285479180356,0.7872340425531915,0.8937528499772002
10,0.3718377713193285,0.3966835876728626,0.7978723404255319,0.8996808025535796
