epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.4953930439417784,0.34306261752858574,0.8780864197530864,0.8635817307692306
2,0.29422279910982335,0.3317201549624219,0.8842592592592593,0.8699368990384615
3,0.28001280561403136,0.33321865841194437,0.8842592592592593,0.8695462740384616
4,0.2746151621495004,0.32949059392199104,0.8811728395061729,0.8706730769230769
5,0.27132018164251964,0.32865315675735474,0.8796296296296297,0.8708834134615385
6,0.2682638123277578,0.3264427858370322,0.8780864197530864,0.8714393028846154
7,0.2666934731384575,0.32498235246281565,0.8842592592592593,0.8710637019230769
8,0.2657462794892598,0.3230748329265618,0.8858024691358025,0.8711538461538461
9,0.26433380271539564,0.320235280159079,0.8842592592592593,0.8701472355769231
10,0.26290119681769897,0.32406677508059845,0.8811728395061729,0.8704927884615384
