round,global_loss,global_acc,global_auc
1,0.1549266594732088,0.9486023444544635,0.9069786967523538
2,0.15144030171752185,0.9528854824165915,0.9114569495010941
3,0.15282858085879053,0.9532236248872858,0.9089813701998833
4,0.15235995203848657,0.9510820559062219,0.907825443633125
5,0.14949962427706112,0.9514201983769162,0.9074566033850695
6,0.15057711820489736,0.9526600541027953,0.9080125658264888
7,0.15018465409315265,0.9531109107303878,0.9074165086211446
8,0.14850163181651235,0.9525473399458972,0.9048526480950986
9,0.15193330066531982,0.9526600541027953,0.9034454820761659
10,0.1521386500407889,0.9518710550045085,0.9022570368890165
11,0.15046843064130544,0.9525473399458972,0.902902010893992
12,0.15154256588680506,0.9533363390441839,0.9040879265694776
13,0.15690463523327342,0.9518710550045085,0.8994724598483652
14,0.15588983095240946,0.9515329125338142,0.9004014578823145
15,0.15217551772473875,0.9526600541027953,0.9008042367510559
16,0.1560451436233165,0.9524346257889991,0.8995810383975738
17,0.15488077656107066,0.9514201983769162,0.8995758188037353
18,0.15626340134733174,0.9505184851217313,0.900947565047226
19,0.1585237620241677,0.9510820559062219,0.9043518206107773
20,0.15792332659790426,0.9511947700631199,0.9007825462108896
21,0.154839397557865,0.9507439134355276,0.9004869002755871
22,0.1605191206237481,0.9508566275924256,0.8998549507850154
23,0.1569447862729682,0.9510820559062219,0.8992663268693487
24,0.15996995014300178,0.9511947700631199,0.8998427589235816
25,0.15883117471590666,0.9511947700631199,0.8998759503444593
26,0.16062809664340785,0.9509693417493237,0.8989871436471226
27,0.1614739369515773,0.9496167718665465,0.9000103166670514
28,0.1597650503662874,0.950180342651037,0.8978060345051156
29,0.16015555497061132,0.9499549143372408,0.8949305453374129
30,0.16033012164203236,0.9515329125338142,0.895573379254117
31,0.16396606459645127,0.950180342651037,0.9013097103069139
32,0.1638815573896273,0.9517583408476105,0.9006367921392526
33,0.1624224280253136,0.9522091974752029,0.89808356100981
34,0.16329290569402785,0.951307484220018,0.8996318411436779
35,0.16544679098795534,0.9498422001803426,0.8985482890643132
36,0.16592228568660397,0.9522091974752029,0.8962027011974145
37,0.1629930276972598,0.9517583408476105,0.9003870458002511
38,0.16251654887192557,0.9519837691614067,0.8972132768167209
39,0.16177314693135283,0.9511947700631199,0.9002731385792735
40,0.1578953567484177,0.9504057709648331,0.8998389168751634
41,0.16359552042857964,0.9514201983769162,0.9031150369244043
42,0.15784872453934803,0.9497294860234445,0.8987332474360359
43,0.1586418921839424,0.9520964833183048,0.9029612539636519
44,0.1613089654574085,0.9502930568079351,0.9000583605471691
45,0.1597105174931522,0.9519837691614067,0.8999053586269721
46,0.16247374097661496,0.9511947700631199,0.9006392479329458
47,0.15956203055005802,0.9508566275924256,0.9013543574246324
48,0.1562042866491925,0.9518710550045085,0.9009931798707718
49,0.1608368068659192,0.9505184851217313,0.9035280723405896
50,0.1612887632294295,0.9509693417493237,0.9018144546780441
51,0.16236685686796187,0.9504057709648331,0.9003084378752105
52,0.16381843391376757,0.9509693417493237,0.9020402310377722
53,0.16248423859478722,0.950180342651037,0.9027872041194189
54,0.16402424011057,0.9507439134355276,0.9038251991650214
55,0.15819627466572514,0.9522091974752029,0.9028202006584402
56,0.16743924742657146,0.950180342651037,0.9009456938295971
57,0.15722523884592884,0.951307484220018,0.9027936728181232
58,0.1614918767527498,0.9500676284941388,0.9027951629453496
59,0.162721514665575,0.9511947700631199,0.9010465057146267
60,0.16049680491171212,0.951307484220018,0.9016148738936401
61,0.16394998947627895,0.9509693417493237,0.9033947525709216
62,0.16337282762270064,0.951307484220018,0.8999785771794014
63,0.16213946661173312,0.9517583408476105,0.9015718670267987
64,0.1630178739220606,0.9515329125338142,0.9000788685017603
65,0.16201815711508813,0.9516456266907124,0.9031254144158408
66,0.15778241666339127,0.9518710550045085,0.9004666877882066
67,0.166169876733938,0.9518710550045085,0.9015160124386824
68,0.16050347842990334,0.9508566275924256,0.8979878888579125
69,0.16081491269811996,0.952321911632101,0.9006201587195705
70,0.16709294216576132,0.9511947700631199,0.8991776995930416
71,0.16215020663552557,0.9515329125338142,0.8989793579109823
72,0.16146059878191696,0.9522091974752029,0.8997417060561849
73,0.16152146969782483,0.951307484220018,0.9009210339517627
74,0.1611359674125894,0.952321911632101,0.9014670879206846
75,0.15828024655280507,0.9526600541027953,0.9026147883599961
76,0.15944528988288753,0.9520964833183048,0.8996471812831223
77,0.15869905525232506,0.9535617673579802,0.905092758690304
