epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.3682330169397242,0.2736582900094227,0.902315484804631,0.8927380437193843
2,0.2715835263988012,0.2657054984448788,0.9044862518089725,0.8988621031998574
3,0.2658398843674638,0.26572528563429065,0.9052098408104197,0.8982693349722345
4,0.2636125165412868,0.26372039619989573,0.9037626628075254,0.8999239947487282
5,0.2616177520304244,0.26306104392632734,0.9044862518089725,0.8993930489742926
6,0.25949748958937185,0.2636668849439938,0.9044862518089725,0.8987784610573094
7,0.2586346752732588,0.26247755258024685,0.9037626628075254,0.8993312265211051
8,0.2570562319491244,0.26349163409079895,0.9015918958031838,0.8999712707423421
9,0.2561791982424205,0.2618845168139931,0.9059334298118669,0.898793007516883
10,0.2550097800649669,0.26019193467113977,0.9081041968162084,0.9009640666082384
