round,loss,acc,auc
1,1.0321937418998557,0.6595744680851063,0.9129046967624259
2,1.0078057659433244,0.7127659574468085,0.9092567259461923
3,0.9891084813057108,0.723404255319149,0.9151846785225719
4,0.9837124398414124,0.6808510638297872,0.9101687186502507
5,0.9533719280932812,0.6808510638297872,0.9069767441860465
6,0.9508177600008376,0.723404255319149,0.9078887368901047
7,0.9305968918698899,0.723404255319149,0.9119927040583675
8,0.8786711033354414,0.723404255319149,0.915640674874601
9,0.9139024602605942,0.7021276595744681,0.915640674874601
10,0.9078635941160486,0.723404255319149,0.9097127222982215
11,0.8741024859408115,0.7127659574468085,0.915640674874601
12,0.8761149898488471,0.7446808510638298,0.915640674874601
13,0.9451071658033006,0.7127659574468085,0.9165526675786593
14,0.9281953801500037,0.7021276595744681,0.9151846785225718
15,0.8587789789159247,0.723404255319149,0.9124487004103967
16,0.9187426490986601,0.7340425531914894,0.9115367077063383
17,0.9084477500712618,0.7127659574468085,0.9097127222982215
18,0.9155308769104329,0.7127659574468085,0.9124487004103967
19,0.9650231726626133,0.7021276595744681,0.9119927040583675
20,0.9566317948889225,0.7021276595744681,0.9037847697218422
21,0.916603240560978,0.7021276595744681,0.9069767441860465
22,0.9834170290764342,0.6914893617021277,0.9051527587779298
23,0.9245648663094703,0.6914893617021277,0.9074327405380757
24,0.9718328308551869,0.7021276595744681,0.9010487916096671
25,0.9485408727158892,0.7021276595744681,0.9060647514819882
26,0.9591106024194271,0.6914893617021277,0.9065207478340174
27,0.990095945114785,0.6914893617021277,0.8996808025535796
28,0.9404150298301209,0.6914893617021277,0.9051527587779297
29,0.9438992586541683,0.6914893617021277,0.9005927952576379
30,0.9421057168473589,0.6914893617021277,0.9042407660738715
31,1.008543793191301,0.6914893617021277,0.9019607843137254
32,1.0033258833783738,0.7021276595744681,0.9019607843137255
33,0.9943666280584132,0.7127659574468085,0.9019607843137254
34,0.9820052157057092,0.7021276595744681,0.9024167806657547
35,1.0173013362478702,0.6914893617021277,0.9060647514819882
36,0.9897540985269749,0.7127659574468085,0.9106247150022799
37,0.9671952090364822,0.7127659574468085,0.9088007295941634
38,0.9799346974555482,0.7021276595744681,0.9088007295941632
39,0.9865858580203767,0.7021276595744681,0.9015047879616963
40,0.927606110877179,0.6914893617021277,0.9110807113543091
41,1.0147009783602776,0.7127659574468085,0.9046967624259007
42,0.9517744931768863,0.6808510638297872,0.9037847697218422
43,0.9429913277321673,0.7127659574468085,0.9065207478340173
44,0.9530517775961693,0.6914893617021277,0.9088007295941632
45,0.9538050027603798,0.7127659574468085,0.9051527587779299
46,0.9870043713995751,0.7127659574468085,0.9037847697218422
47,0.9603117805846194,0.6914893617021277,0.9065207478340173
