round,loss,acc,auc
1,0.10506119845564117,0.9650371287128713,0.8872780721668687
2,0.10282987662323631,0.963490099009901,0.8959027877132222
3,0.10436558389648942,0.9650371287128713,0.8911814645549835
4,0.10302446252380562,0.9656559405940595,0.8897899024691791
5,0.10477419733300362,0.9662747524752475,0.8854707960922886
6,0.10481483468988745,0.9665841584158416,0.8879853258360845
7,0.10483037288494335,0.9659653465346535,0.8843788720113808
8,0.10494039912182505,0.9644183168316832,0.8838821747780384
9,0.1043750283188454,0.9659653465346535,0.8858122754402115
10,0.10485498733486574,0.9662747524752475,0.8861281100940216
11,0.10413369733729574,0.9659653465346535,0.8869743849997435
12,0.10530883324618387,0.9650371287128713,0.8896711270438146
13,0.10539564320651612,0.9659653465346535,0.8898425415781475
14,0.10609837031305426,0.9668935643564357,0.8857744832594137
15,0.10611854633777448,0.9659653465346535,0.8884050889870885
16,0.10627298667510547,0.9665841584158416,0.8878031135358093
17,0.10740728032692234,0.9641089108910891,0.8844045167054936
18,0.10709204911116031,0.9656559405940595,0.8871700945074464
19,0.10648350556851319,0.9665841584158416,0.8870904609836224
20,0.10705462999014866,0.9653465346534653,0.8802338796103087
21,0.10775639314093802,0.9641089108910891,0.8807157299154805
22,0.10703812861390928,0.9644183168316832,0.8878935448255756
23,0.10775480070842965,0.9653465346534653,0.884395068660294
24,0.10807709421704312,0.9647277227722773,0.8827295132637057
25,0.10895187237143221,0.9644183168316832,0.8870135269012841
26,0.11008538345409798,0.9641089108910891,0.881916981376553
27,0.1098015810556636,0.9653465346534653,0.8784441499053846
28,0.11049951729595218,0.9650371287128713,0.8790258795455221
29,0.10999477550498035,0.9650371287128713,0.881290710951904
30,0.11084983199097143,0.9650371287128713,0.8805929053278876
31,0.11082813962095298,0.963490099009901,0.8823110998334444
32,0.11026547335567746,0.9662747524752475,0.8848863670106655
33,0.11024677366165832,0.9650371287128713,0.8845570351494276
34,0.10981557968690402,0.9662747524752475,0.8847513949363877
35,0.11056318211525974,0.9650371287128713,0.8846110239791386
36,0.11071906585965564,0.9653465346534653,0.8826188361627979
37,0.11081496613229265,0.9641089108910891,0.8832100138481349
38,0.11103996403496896,0.9647277227722773,0.8827187154977636
39,0.11078660237132618,0.9644183168316832,0.8804984248758931
40,0.11123890734028698,0.9647277227722773,0.8798708047305013
41,0.11145510162586475,0.9644183168316832,0.8776842571272003
42,0.11258239959283631,0.9644183168316832,0.877005347593583
43,0.11195618443486124,0.9647277227722773,0.8781809543605429
44,0.1124750339831825,0.9641089108910891,0.8765558905862378
45,0.11366179677667004,0.9644183168316832,0.8765126995224689
46,0.11345014615574538,0.963799504950495,0.8761779687782598
47,0.11426609912702795,0.9641089108910891,0.872425745113336
48,0.11362491999430084,0.9644183168316832,0.8732760691812864
49,0.11534972716178192,0.9644183168316832,0.8713999573488246
50,0.1156971445030505,0.963180693069307,0.8693780756761426
51,0.11490856548125791,0.9628712871287128,0.8703836176295126
52,0.11573469370492909,0.963490099009901,0.8698545270983433
53,0.11649817965998507,0.963180693069307,0.8645757692733372
54,0.11666069724274301,0.9644183168316832,0.8649536910813153
55,0.11720493469055336,0.963799504950495,0.8620733870162263
56,0.11664538589850215,0.963490099009901,0.8640142854443416
57,0.11723998830294108,0.963799504950495,0.8649793357754281
58,0.11700632431461375,0.963799504950495,0.8602539634549611
59,0.11660849634963687,0.963490099009901,0.863281387081013
60,0.11666066685027562,0.9641089108910891,0.8663155593107785
61,0.11776985640702124,0.963799504950495,0.8660793581807924
62,0.1188952109020314,0.963799504950495,0.8617130115779046
63,0.11895136548999218,0.963180693069307,0.8663547012123192
64,0.11651028251035674,0.9647277227722773,0.8711070679476416
65,0.11811360732495489,0.9625618811881188,0.8697209047448083
66,0.11775431668127675,0.963490099009901,0.8693348846123737
67,0.11863693460766779,0.963180693069307,0.8675316577000218
68,0.11944373911892128,0.9628712871287128,0.8662129805343275
69,0.11870257335134071,0.9628712871287128,0.8691648197987837
70,0.1202166952506298,0.9628712871287128,0.8623190361914119
71,0.11992123321915912,0.963180693069307,0.8648538117463497
72,0.11891933777692294,0.963490099009901,0.8651008106422782
73,0.11932047776472156,0.963180693069307,0.8668945895094305
74,0.11971798623072924,0.9644183168316832,0.858958231541894
75,0.11986465105731593,0.963490099009901,0.8616860171630489
76,0.12030591609159319,0.963799504950495,0.8629318094086333
77,0.12027107564142288,0.9644183168316832,0.8599651232160066
78,0.12265111087351152,0.9628712871287128,0.8554260123580432
79,0.12251434467806674,0.963490099009901,0.855829578860134
80,0.12127103961745997,0.9647277227722773,0.8555785308019771
81,0.12198177192101975,0.963799504950495,0.8609423210337781
82,0.1209750224439667,0.9641089108910891,0.8603349466995278
83,0.1219785257270283,0.9644183168316832,0.8598355500246999
84,0.12165679829195142,0.963799504950495,0.8564747453751819
85,0.12171194987316238,0.9625618811881188,0.8596074472191704
86,0.12143177050396357,0.9616336633663366,0.8594900215145487
87,0.12240063293034782,0.9619430693069307,0.8580566180857181
88,0.12264632121982551,0.9619430693069307,0.859031116462004
89,0.12158046148274795,0.963180693069307,0.8627779412439566
90,0.12252488242702024,0.9628712871287128,0.8578082694690469
91,0.12160068487582526,0.9628712871287128,0.8632098518816456
92,0.12175390967121809,0.9625618811881188,0.858568162247231
93,0.12139745245660001,0.9622524752475248,0.8591903835096518
94,0.12216836283223169,0.9625618811881188,0.8553828212942741
95,0.12215786498722316,0.9619430693069307,0.8593226561424443
96,0.12266283575445414,0.9616336633663366,0.8583346605587305
97,0.12228559409406516,0.9616336633663366,0.859176886302224
98,0.12247864352446972,0.9619430693069307,0.8573790582728433
99,0.12176919731283838,0.9616336633663366,0.8570308303212066
100,0.12200663951548314,0.9622524752475248,0.8558943654557872
101,0.12223924358495243,0.9619430693069307,0.85572565036294
102,0.122082384201781,0.9622524752475248,0.8567851811460209
103,0.1227512166438864,0.963180693069307,0.8619060216441219
104,0.1232184898753715,0.9625618811881188,0.858677489627396
105,0.1218289256575379,0.963490099009901,0.8570497264116055
106,0.12336613985682184,0.9625618811881188,0.8587206806911649
107,0.12417217538609068,0.9622524752475248,0.8553018380497076
108,0.12324702223338703,0.9622524752475248,0.8499623427912765
109,0.12288650433247042,0.9628712871287128,0.8579594381922382
110,0.12293850194367736,0.9628712871287128,0.857381757714329
111,0.12250338659833858,0.9622524752475248,0.858939335451495
112,0.12431780542108682,0.9622524752475248,0.8579432415433247
113,0.12239184353205532,0.963490099009901,0.8550575385952647
114,0.12400472001864178,0.9622524752475248,0.8598760416469832
115,0.12382200538263757,0.963490099009901,0.8526037462848937
116,0.1257066306021839,0.9613242574257426,0.8552667453103951
117,0.12451187438230113,0.9625618811881188,0.8565503297367775
118,0.12538995047902116,0.9603960396039604,0.8541289307242332
119,0.12409842998195107,0.963490099009901,0.8584129443618115
120,0.1246730402609942,0.963180693069307,0.8576571007458557
121,0.12541840390514325,0.963799504950495,0.85315578206869
122,0.12485974317066151,0.9628712871287128,0.8551115274249758
123,0.12483410488371507,0.963180693069307,0.8562452928489095
124,0.12590811821161815,0.9625618811881188,0.8518748970837934
125,0.12719844061291158,0.9597772277227723,0.8573331677675888
126,0.12640251214662107,0.9622524752475248,0.8564814939788958
127,0.12595302417026003,0.9622524752475248,0.8569188034995557
128,0.12625953792087216,0.963490099009901,0.8566556079547142
129,0.12595572095770058,0.9625618811881188,0.8574006538047277
130,0.1258886311627408,0.9607054455445545,0.857569368897575
131,0.12786163191430935,0.963490099009901,0.8519504814453889
132,0.12722377160951348,0.9628712871287128,0.8558849174105878
133,0.12656743344989155,0.9625618811881188,0.8567797822630498
134,0.1262765829313067,0.9628712871287128,0.8558120324904778
135,0.12530400795806754,0.9613242574257426,0.860541453973173
136,0.1265090760489059,0.9616336633663366,0.8546782670665439
137,0.12425227447569666,0.9628712871287128,0.8530208099944122
138,0.12444234984272187,0.963180693069307,0.8617764484528151
139,0.1251405769829998,0.9628712871287128,0.8600137131627466
140,0.12479183030785015,0.9622524752475248,0.8641978474653594
141,0.1273245783430515,0.9600866336633663,0.8621381736118797
142,0.12478853408062812,0.9628712871287128,0.8634528016153458
143,0.12462436772034605,0.963490099009901,0.8610395009272582
144,0.1251663893811626,0.9622524752475248,0.8618655300218384
145,0.1241691812485604,0.9628712871287128,0.8610961891984548
146,0.12533006303491864,0.9628712871287128,0.8633245781447819
147,0.12566407518184716,0.9628712871287128,0.8630897267355384
148,0.12481807368706063,0.963799504950495,0.8616144819636817
149,0.12450490138576467,0.963180693069307,0.8634811457509441
150,0.12315639365685753,0.9625618811881188,0.8624891010050021
151,0.12299881148898956,0.9628712871287128,0.8623271345158687
152,0.12344372597071204,0.9625618811881188,0.8609558182412059
153,0.12350533299590691,0.9628712871287128,0.8596600863281387
154,0.1235816818800303,0.9628712871287128,0.8592065801585652
155,0.12276429837883109,0.963180693069307,0.8606791254889364
156,0.12369810677327142,0.9622524752475248,0.8621071300347959
157,0.12136092356009649,0.963490099009901,0.8655988575963633
158,0.12229286589761182,0.963180693069307,0.8620868842236541
159,0.12192333635348494,0.963490099009901,0.8630748798073679
160,0.12146517989400885,0.9625618811881188,0.8671942275143273
161,0.12203481273338346,0.9625618811881188,0.8648754072782343
162,0.1218276217229443,0.9619430693069307,0.8617251590645896
163,0.12205659920847652,0.9613242574257426,0.8658067145907512
164,0.11993096669269081,0.9628712871287128,0.8667015794432134
165,0.12023218693488305,0.9625618811881188,0.8672900576870646
166,0.12056935322240438,0.963490099009901,0.8642761312684405
167,0.118860049237783,0.9656559405940595,0.8681687258906132
168,0.1205800316379507,0.9625618811881188,0.8674898163569958
169,0.11873824657448152,0.963799504950495,0.8675937448541896
170,0.1206439424140176,0.963180693069307,0.8696966097714383
171,0.11913705240971971,0.963180693069307,0.8673211012641485
172,0.11904048438340721,0.9641089108910891,0.8694455617132816
173,0.11981197402323826,0.9616336633663366,0.8698261829627449
174,0.12034891330000788,0.9616336633663366,0.8645987145259647
175,0.12074289956858547,0.9619430693069307,0.8669472286183989
176,0.11956812067897898,0.963799504950495,0.8673399973545473
177,0.11940798689933992,0.963180693069307,0.8693902231628275
