epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.46824694256910776,0.4781656973063946,0.7734375,0.80468477882271
2,0.364392506136288,0.4010091796517372,0.78515625,0.8615464994775339
3,0.296174273375777,0.3620233256369829,0.84765625,0.8766109369557645
4,0.2678747868516043,0.35639235004782677,0.859375,0.8802681992337165
5,0.25820212861145037,0.3498121043667197,0.8671875,0.8817485196795541
6,0.2521887651792657,0.3609410226345062,0.85546875,0.8827063740856844
7,0.251053319794916,0.351703810505569,0.86328125,0.882793451758969
8,0.248109838603324,0.3522197352722287,0.8671875,0.8822709857192615
9,0.24635501438364715,0.3534670379012823,0.8671875,0.8820968303726924
10,0.2454281511472898,0.35270099341869354,0.8671875,0.8820968303726924
