epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.1475729740180358,0.11653512088342173,0.9644183168316832,0.8599948170723477
2,0.0923693424429681,0.1113465560305089,0.9628712871287128,0.8665976509460193
3,0.08988424149839372,0.10864859373115077,0.9641089108910891,0.8755759933269807
4,0.08858394426385935,0.10705219915523978,0.963180693069307,0.8786560560620008
5,0.08786836933095443,0.10643420012501797,0.963180693069307,0.8831479266939669
6,0.08733670945469485,0.10626165787366652,0.9647277227722773,0.8801164539056869
7,0.08693953487752755,0.10586784858404115,0.9650371287128713,0.8851725078081345
8,0.08618853860026213,0.10869784682694048,0.9656559405940595,0.8747985541791404
9,0.08621807657197347,0.10776668267859386,0.9665841584158416,0.8777787375791949
10,0.08597693268877916,0.104324581839218,0.9662747524752475,0.8886979783882715
