epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.11313150106944471,0.03542214509288562,0.9930875576036866,0.8328016241299303
2,0.04429077687850036,0.0331138548986291,0.9925115207373272,0.8633023975251354
3,0.04092154032607438,0.03209271998689746,0.9925115207373272,0.8706979891724672
4,0.039743715038598616,0.032033790559572284,0.9925115207373272,0.8787219644238207
5,0.03860877354126613,0.03138867633048153,0.9925115207373272,0.8794953596287703
6,0.03799286011241788,0.03128479084231749,0.9925115207373272,0.8866492652745553
7,0.03737496269696029,0.03129054442442919,0.9925115207373272,0.8870359628770301
8,0.03683125752180054,0.030755867647256033,0.9930875576036866,0.8843774168600155
9,0.03691158597901284,0.030651238066689346,0.9930875576036866,0.886600928074246
10,0.036605134360164326,0.03053225428380999,0.9930875576036866,0.8872293116782676
