epoch,train_loss,test_loss,test_accuracy,test_auc
1,0.18872205874958076,0.15040547564990522,0.9517102615694165,0.8931820854351981
2,0.12918028365130316,0.14416899698168678,0.954728370221328,0.9014035241570784
3,0.12526521904251278,0.14182479418426913,0.9550637156270959,0.9059935783089548
4,0.12311835845289826,0.1415351790611493,0.9540576794097921,0.9076577968138686
5,0.12182079902180845,0.13932417270850508,0.9553990610328639,0.9136230734428595
6,0.1207667219045077,0.13930397114630896,0.9553990610328639,0.9126584246328255
7,0.12002127406812246,0.13710019370324855,0.954728370221328,0.9139120694706591
8,0.11993070004210213,0.1379627361244039,0.9550637156270959,0.911406772871046
9,0.11925482866264481,0.1395570238881028,0.9560697518443997,0.9134616342825026
10,0.11861029588799338,0.1372983731450619,0.95439302481556,0.915281312719612
