round,global_loss,global_acc,global_auc
1,0.15173164246216705,0.9502930568079351,0.8929640803895089
2,0.15050103651599855,0.9502930568079351,0.8964408280721279
3,0.15564413058317061,0.9505184851217313,0.8980253121028171
4,0.15264982861219809,0.9508566275924256,0.8975471792808742
5,0.15295243692501198,0.9514201983769162,0.8977889753771137
6,0.15275618196891266,0.9519837691614067,0.8982415565971226
7,0.15318887092341477,0.951307484220018,0.8966738365646153
8,0.150688294127518,0.951307484220018,0.8967604727046145
9,0.1545204384318772,0.9509693417493237,0.8967242421507569
10,0.15187528644452447,0.9511947700631199,0.8992921544590732
11,0.15520709421604492,0.9504057709648331,0.8992190884259909
12,0.1518103614406672,0.9506311992786294,0.9000465223742425
13,0.15372238224191714,0.9508566275924256,0.9006645469931445
14,0.1557903027714535,0.9504057709648331,0.8985631343127363
15,0.15457543150926592,0.9504057709648331,0.9002656050722219
16,0.15605875930532215,0.9502930568079351,0.8997288142779972
17,0.1556676767726166,0.9504057709648331,0.8979845578078648
18,0.1551552261414831,0.9499549143372408,0.8994123819908328
19,0.15673655101053613,0.9502930568079351,0.8984403737934941
20,0.15880020862124858,0.9492786293958522,0.8950291899137891
21,0.15772913939783953,0.9492786293958522,0.8962934677566896
22,0.15636988068883356,0.9492786293958522,0.9013602573118102
23,0.15894386600134047,0.950180342651037,0.9005866213409618
24,0.1587567374516888,0.9497294860234445,0.8972903997989059
25,0.15719593397020032,0.9499549143372408,0.8998586604446128
26,0.15743768234935407,0.9490532010820559,0.8965103759035402
27,0.1588608116726916,0.9498422001803426,0.8931258583680131
28,0.161718242130422,0.9496167718665465,0.8936763536526459
29,0.1598484516614079,0.9488277727682597,0.8944631791057029
30,0.15815552306484104,0.9493913435527502,0.8967779198522556
31,0.16059730422067497,0.9479260595130748,0.8973657019664028
32,0.16236200571474615,0.9490532010820559,0.8964687505762388
33,0.1630809755661635,0.9487150586113616,0.8957641966400993
34,0.16182428952751596,0.9490532010820559,0.8970268116280716
